,index17_106,index17_85,index17_84,index17_100,index17_104,index17_103,index17_87,index17_96,index17_86,ew0114_2,index17_91,index17_101,index17_99,index17_102,index17_94,index17_89,index17_105,index17_93,index17_95,index17_88,index17_98,index17_92,index17_97,ew0112_107
600,6306.341999885619,9688.511237875453,8486.356489568381,8692.114123074138,16191.458621886375,15172.710145428184,16128.438440830643,15117.649921780196,12112.183897432385,10573.964531703321,5384.487454350411,17985.577277084518,7563.610523743219,16318.725106398146,10663.946390621888,13415.121656151896,13876.735541218357,4230.258005650425,9724.868253127284,7007.818069627864,6544.443820335885,6055.655520106261,12089.78470308845,7624.060492264156
660,6440.153918027108,9641.41932592071,8518.059255175185,8733.69134250019,16253.66325849297,15247.6665590086,16122.555190490786,15091.644131156223,12047.88773118728,10468.41706159647,2470.127336743012,17978.93107058679,7568.819223751227,16205.985274362454,10746.290160859786,13526.014068067678,13884.503329470912,4073.9571053381364,9731.266143705652,7065.091937742215,6545.541535043179,6113.542160504848,12138.328134374717,6650.395630204117
720,6453.891630686467,9695.12324677314,8524.533955585654,8700.871759617214,16328.7578646761,15226.690056418955,16109.018374703921,15186.456005767226,12115.705560430282,10264.320830861343,6577.843919064574,17938.00947159574,7541.956849612218,16266.584429668617,10824.137899962612,13436.611125828582,13739.406406174105,3998.9617784879315,9638.428324093215,6929.692988622898,6545.626318918567,6090.789794858308,11990.886134327735,7545.767398938622
780,6332.313643235924,9771.35525923111,8576.735108877723,8596.997271042303,16328.992292431225,15218.485397393726,16163.72580236038,15111.070491697197,12098.787289794087,10231.270785172466,4476.041520833559,17697.55579709478,7520.956529065263,16218.042599210807,10889.551013789114,13322.20166237342,13733.891188401794,4065.9734300306764,9611.463935821865,6912.1174050227555,6485.666787592757,6093.845661228661,11993.155705580582,6964.463845497995
840,6243.563477763026,9805.270125579647,8536.738030758033,8556.419402536869,16298.768759407236,15180.342007848594,16285.863534148482,15166.11466890679,12126.064799818434,10246.944451877931,4468.484635872462,17618.61345776651,7593.668235062085,16214.506090252557,10930.096534004415,13346.688746900418,13587.942747577335,4013.547421485375,9613.628768087865,6819.981361354067,6531.636644490519,6058.777667791762,11999.745755765094,5243.5067577883365
900,6217.17504588339,9797.799135479923,8606.540021051454,8507.118518726114,16180.538765906986,15150.007126829201,16352.045291080054,15089.22530187965,12061.066566820262,10391.686898791131,2509.5646708338045,17610.819745297893,7643.86995530964,16365.314942656649,10897.461047965035,13345.072903391725,13312.967429990513,3963.800675824619,9555.572855144135,6830.789800540788,6459.082242200761,6066.23282134037,11982.68860005387,5194.698111332065
960,6295.476357240642,9829.990966642328,8576.958823313855,8528.79640689429,16093.281424896786,15216.510341187854,16504.58035871303,15016.03552178016,12034.349234200168,10589.15634483244,2936.4618722567775,17602.68776319919,7674.2287662336175,16361.034987579369,10932.471008228093,13300.719743240928,13328.839982921816,3932.2989865912564,9629.563073993797,6730.839001784179,6497.073501482734,6045.807032208879,11954.718403628567,5761.617977794643
1020,6310.17788739864,9896.10719467748,8594.855224506635,8673.70384767338,16051.646800822025,15177.923271546691,16556.24422300175,15130.558710721632,11857.678680678453,10501.479589029746,7167.662797502258,17572.562565197615,7716.298290360283,16106.865828402135,10974.749906790801,13233.14263716148,13471.556650666085,3836.402457368762,9723.342663113946,6669.255504616779,6513.460897736176,5896.940497908899,11906.146371444318,12342.09067080338
1080,6438.129524215691,9899.788398324885,8544.045728740259,8662.176944742825,16067.017391670684,15223.443611429842,16644.672872160714,15129.492469375153,11900.010422543906,10434.054145295158,9359.43224243258,17505.008357801107,7608.241297197479,15871.643064813814,10973.270047749253,13275.099422153075,13434.209096233855,3868.750059182245,9668.599286434242,6561.620203185424,6731.606508701816,5732.729489611712,11881.819322813015,12356.817453227573
1140,6448.236122574484,9876.534673584285,8545.236243264779,8644.77403304165,16017.039754984607,15230.721596064188,16682.195886711896,15233.120465361551,11918.910884031628,10429.927915405371,9341.318251912397,17544.63648849586,7553.722044715942,15788.111024066118,10885.089067483896,13344.678636559236,13370.949722441868,3781.9361740200884,9617.972110362092,6569.492587177512,6708.410642112272,5694.033018794426,11809.240601032554,12330.689437501316
