,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
trajectories,,,118377.5,,,568784.362280376,,,,,
recoveries,33866.666666666664,36153.333333333336,2286.6666666666665,2131.60506924719,2147.042338325983,2368.2445276685758,94780.33958549543,97148.58411316402,2368.2445276685758,1569.002977912816,1559.0590762311626
below_pixel,10128.461538461539,80180.76923076923,70052.30769230769,26280.429593365283,23821.340280788427,179214.0809752479,76553.07485375469,255767.1558290026,179214.0809752479,374.91141132444557,276.181771154615
certain_recoveries,240.0,118377.5,118137.5,91967.16359905282,66436.3895180851,568510.0225762218,274.3397041542313,568784.362280376,568510.0225762218,320.6362065330376,284.2995937540697
certain_below_pixel,0.0,118377.5,118377.5,91855.01114944612,66370.58994384098,568784.362280376,0.0,568784.362280376,568784.362280376,383.9776679312392,286.773493151187
