,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,60,2880,2820,356.36318956423025,362.59037613810125,3295.3715995346106,20.055779418604395,3315.427378953215,3295.3715995346106,333.27231248203856,336.62746090212397
0,2040,2400,360,7401.4425923016315,7471.089559322456,21902.757108257036,43558.101417254955,65460.85852551199,21902.757108257036,380.89504686591886,378.2658065943609
0,720,1020,300,929.0487716279495,955.0333949775724,555.3311599028011,5376.719610108399,5932.0507700112,555.3311599028011,440.46683828815424,442.38207754885286
0,1800,1920,120,2387.1850277746703,2387.1850277746703,1240.6782074354142,10926.744798809752,12167.423006245166,1240.6782074354142,381.1813453226872,381.1813453226872
0,2100,2880,780,3299.1016865661227,3248.248033025149,6044.233050103923,12471.08292291207,18515.315973015993,6044.233050103923,246.91091114856758,246.77273453117164
0,600,720,120,653.7144729471958,653.7144729471958,234.64170916050193,997.5506506849538,1232.1923598454557,234.64170916050193,432.28895689188596,432.28895689188596
0,2520,2880,360,375.0569781115492,397.39170591118716,382.82796908695127,4287.283001734403,4670.110970821354,382.82796908695127,351.5949255041094,344.58768959357315
0,1500,1560,60,937.8893794065285,937.8893794065285,335.48486075553956,21759.861015142265,22095.345875897805,335.48486075553956,402.76837728515716,402.76837728515716
0,1920,2100,180,1394.3996313948173,1419.1252667259791,976.2334955051265,24091.813528940238,25068.047024445365,976.2334955051265,359.1137886001058,335.99407387705753
0,2220,2460,240,928.0756884747475,959.3376105578482,1275.066748355879,25726.509094557336,27001.575842913215,1275.066748355879,427.2529100530613,429.5665740403074
0,2580,2640,60,528.4237142461842,528.4237142461842,324.76770370190934,27636.441887034547,27961.209590736456,324.76770370190934,436.82793721928766,436.82793721928766
0,1320,2880,1560,365.65288033041935,335.2407325585074,4349.516069613883,3226.470530622039,7575.986600235922,4349.516069613883,377.6975653106713,368.5534519870039
0,2640,2880,240,5168.444514524159,5201.763271491809,1450.695060237238,56865.28665505564,58315.98171529288,1450.695060237238,220.8382204215039,225.8399800146318
0,2160,2340,180,3577.0524829272995,3576.9639645630473,1126.3942352023914,13545.619298957874,14672.013534160265,1126.3942352023914,362.84593749610343,360.6543542564619
0,2460,2880,420,1839.146431307536,1798.2367943977197,2631.503417334585,15422.099237827792,18053.602655162376,2631.503417334585,284.1532156384754,271.56638644670085
0,2460,2520,60,1629.4482989192877,1629.4482989192877,325.90014223357866,24078.602665755792,24404.50280798937,325.90014223357866,433.5597555847865,433.5597555847865
0,2700,2880,180,575.600721691807,591.2662134729353,380.4265638392826,24896.836519754354,25277.263083593636,380.4265638392826,369.25356636713104,362.09408061967554
0,2100,2340,240,286.19762366839876,297.6184681181243,1467.86858598051,12995.40679652296,14463.27538250347,1467.86858598051,401.3941197919779,397.79632593997076
0,2520,2700,180,464.0576121181568,461.7526074304526,1106.2101881560502,15571.359040162844,16677.569228318895,1106.2101881560502,438.4063758320587,439.4949323529671
0,60,2880,2820,264.9282582220621,266.7016278799068,2593.796461137852,20.603208639689402,2614.3996697775415,2593.796461137852,297.1050193689552,293.04784502825845
0,1620,2880,1260,9556.06108397605,9767.042662143724,27359.49565672034,20962.665600234184,48322.161256954525,27359.49565672034,142.1724383529227,93.6900263690559
0,52560,52680,120,23844.909007860973,23844.909007860973,637.2326730733621,33311.07564141451,33948.30831448787,637.2326730733621,325.5368050287572,325.5368050287572
0,53160,54180,1020,25322.12649775977,25258.014108884072,3215.3876864107224,36495.79454235712,39711.182228767844,3215.3876864107224,376.2830199519989,392.32358399780355
0,73740,74100,360,37276.677028673075,37291.57723060192,931.0843816833221,52164.596280840226,53095.68066252355,931.0843816833221,332.55542277152216,330.8134393631959
0,87300,89220,1920,42013.0892253128,42088.174066104955,7744.072197254718,104036.21210573766,111780.28430299238,7744.072197254718,329.3989432212765,320.70778081245044
0,89460,90180,720,37491.38111233959,37317.28873480963,2679.8520867395273,112737.75572214057,115417.6078088801,2679.8520867395273,372.29491073324016,363.73385584870766
0,108000,112020,4020,46458.35333419527,46418.27326646092,17324.639197852695,188933.51968778094,206258.15888563363,17324.639197852695,256.14968271590527,242.92699392253814
0,113700,114180,480,36698.52036080397,36718.82352563086,2281.2178374993673,212421.22147277682,214702.43931027618,2281.2178374993673,319.95585600211916,317.10585041510177
0,116220,116400,180,30054.053314561537,30032.787617213206,751.0915976971737,224228.56821565714,224979.65981335432,751.0915976971737,441.11619889175046,443.30293501672037
0,121980,122160,180,27956.57102815215,27987.188524699,959.1659905198903,248102.47815555616,249061.64414607605,959.1659905198903,402.669164038553,405.12683215865957
0,133380,133800,420,28712.28692275929,28679.55774673834,1560.2688712232048,296357.52137164166,297917.79024286487,1560.2688712232048,366.695234080272,355.5627362829448
0,141540,142020,480,25448.382183289144,25330.34445901673,1750.7925765617401,331226.3335201012,332977.12609666295,1750.7925765617401,383.7683263325403,376.01804981197256
0,161280,161340,60,21118.222926154554,21118.222926154554,268.17913555249106,409231.3308209818,409499.5099565343,268.17913555249106,439.3300517892046,439.3300517892046
0,163800,164280,480,24430.723702744195,24409.53685112468,171.66879208979663,416793.62182747084,416965.29061956063,171.66879208979663,378.6236525374757,370.00040881182053
0,245940,246900,960,35113.08379527557,34994.095647862145,798.0272042402066,471798.19674429495,472596.22394853516,798.0272042402066,356.8397069823616,375.889953400325
0,292980,297360,4380,62884.420266104404,62316.71183000755,19937.37689457182,527750.2231197063,547687.6000142781,19937.37689457182,175.88526890698756,91.87173173326968
