,wi933014_37,wi933014_14,wi933014_75,wi933014_24,wi933014_29,wi933014_63,wi933014_13,wi933014_7,wi933014_56,wi933014_51,wi933014_41,wi933014_31,wi933014_73,wi933014_30,wi933014_72,wi933014_36,wi933014_23,wi933014_16,wi933014_9,wi933014_42,wi933014_11,wi933014_67,wi933014_43,wi933014_15,wi933014_65,wi933014_28,wi933014_60,wi933014_64,wi933014_26,wi933014_49,wi933014_48,wi933014_32,ew0114_2,wi933014_50,wi933014_19,wi933014_17,wi933014_22,wi933014_55,wi933014_47,wi933014_81,wi933014_33,wi933014_38,wi933014_40,wi933014_34,wi933014_39,wi933014_58,wi933014_35,wi933014_18,index17_95,wi933014_61,wi933014_52,wi933014_69,wi933014_59,ew0007_82,wi933014_74,wi933014_70,wi933014_54,wi933014_66,wi933014_10,wi933014_53,wi933014_80,wi933014_6,wi933014_27,wi933014_57,wi933014_62
0,5.912897255281365,7.927932655886239,4.462641202744438,6.431859231169778,5.8062481738949705,5.253098371981836,4.928917297804009,4.027940004061188,3.2418859521675265,3.0461265124368393,8.336928203006941,1.4786647881957486,2.192128300934417,2.2078814705214347,0.9995643462488599,4.631187215824956,3.02105892129754,4.004399530508557,1.7963521649429344,2.881015911660405,8.901178450528633,3.605415485093803,5.613964431405407,5.967820838035667,2.0790291770600615,3.7711801675612953,3.380871694038915,2.3098702131581503,2.2096626320777313,3.72184220393286,3.0741174475791584,5.331548911987024,6.611809159314712,1.657821560281205,2.0212586830024852,3.812741527346578,6.570880455364187,6.542733095582419,4.27736936827544,2.032514503638235,0.6828147244552217,5.893681308270886,7.591953215866518,9.045538227993328,0.11521022325937867,0.368309286138591,3.1669635670873904,3.02133371266258,2.151171382342404,6.267310545270596,3.1597518473564334,6.185564410904336,6.918936536857975,6.0534934944875625,4.231160069249227,2.1635474487976665,3.293545782063531,6.664460247735929,6.391823335696457,1.9042787050923122,2.029472896668827,1.0619421834297436,5.072546042187936,3.79139117412726,4.872589479865068
60,99.56635134851696,811.311634373519,636.9640358150215,1128.9881631464148,898.22356886576,39.92836267623009,571.5850436426008,85.57422941379829,67.6027728426399,99.26655937190414,29.73856274007446,69.44718464757113,84.24478204502915,796.0823781301888,974.6050679489817,950.7471326489955,75.20900930920422,90.00138600264646,96.9130617015284,88.14250410350238,39.66077690262815,183.44645951983608,50.65770321439726,100.1719404818655,68.43613327765414,70.28013848487701,3.5959072286897062,132.6750445945962,108.97794647902217,41.8063830144007,854.2994064800951,43.179441571178174,678.8259236830479,558.8256607864263,67.96591008471556,94.19945057306273,74.46400613003489,599.7560520944885,38.51543393690767,613.1551984663507,65.99375766552897,848.5010220025404,9.288486934952305,447.238157115198,797.5645327811551,698.6249607360841,34.4435033458222,49.79794395046466,12.277069475914963,11.033506192146438,28.95208700634294,17.951067850407536,618.2203106019663,903.5893399750491,58.24787388350246,31.805150615598105,71.5337843724025,673.1204896178099,47.6629222417978,843.7992703727739,84.81394017741185,4.142589844217401,93.98326459252081,499.4795961981621,4.287615480187927
120,107.39814672263321,1378.6884507278771,927.6947306937074,1632.8566871766923,1659.1407716507188,479.3167761587718,628.4432462080372,75.15340009528926,766.9540273053074,112.79799026864617,145.34379636327634,141.57407350373813,143.39057213369819,1226.709341464272,1710.5370875779897,1413.8792847870066,132.63910611520012,137.70635330823808,132.25761178153897,127.56319265255213,231.2555414347014,225.18900153834724,128.1602922993381,95.15695044404778,134.85729116254322,143.37802988286364,8.719669575929924,252.8023707337259,116.52595583247009,918.7260123864928,1451.9260721827814,79.5576946995189,1089.5286204088502,1120.813782178033,146.87063777533552,93.54873123915107,130.57007208904594,1008.2685780221244,957.8359839305326,330.5691772993653,142.73556357036819,1636.505151953945,12.739146491483513,732.1683715034409,805.1360076041282,1604.6762954696233,98.48952617294493,129.1032366934856,52.030850034804644,16.23560597324581,95.50919363547837,31.310853164135892,1160.9532164391992,1747.2197054791675,117.16829558044941,80.33838988141558,147.88781960586192,1111.5294892485479,142.77759378980295,1542.9608761645377,130.51027047994333,1.2244514779160178,531.2304008586747,860.3201395290248,4.859722633187336
180,82.703948462373,1938.5447095730585,1257.7057904391756,2256.547994522012,2044.796480887043,387.7854014212341,748.38413358858,126.1680887583284,1283.1317159953562,477.72894861756043,50.77967156080816,95.589942516614,189.95509385207993,1478.6335685155486,2469.379913582355,1599.0723695975457,186.027200046211,77.05263894062949,99.92087431618079,148.9122432862726,142.3880692737003,196.6087927370666,214.3573887613185,108.91551143443247,26.323077537142154,879.159217686076,9.707154376755975,265.4119442587602,101.73724319991427,1591.3070851942173,1959.2786478825028,12.781113778010965,1379.7139339931757,1681.9442221813417,61.93402126569803,100.44010323652554,33.258431151817824,1251.9170375666208,1421.4379572103448,345.73060293498725,594.1291711706697,2174.6641205794494,11.629665010165175,996.6249299576033,815.738247999864,1969.5110885558267,434.18548328535,20.414138336749826,83.83995338099429,91.27400315442965,562.241918330682,139.80666988905725,2140.3418901193427,2299.361279351678,566.4419583947473,12.280246067704498,216.6981297509273,1576.8195392170228,198.3919163281709,2301.946088306053,182.7711671144691,9.749618209488894,938.537144983792,1064.4828315268114,0.8174622250649738
240,47.43272615567204,2444.160813793843,1688.1874854949397,2705.1408505767145,2588.422652167965,341.047882047971,867.3741505558488,80.03519599194028,1759.2677759590363,857.4000196251036,971.9355157077663,133.60144606428858,72.7344491835067,1852.799091945812,2878.3161451808246,1515.8777209743628,59.54964876607356,160.09357677006807,41.380752487243775,104.92009432219109,102.65580288829823,356.4145339233556,122.12338094859318,65.42987541872239,130.7355608859457,1487.2397292538417,95.2488555272183,401.90288275045197,55.62911185351927,2143.184595044696,2398.5450488342362,71.24352416002827,1603.5917829034463,2097.005797844867,51.00582155892232,26.596898275134095,44.86015554847333,1287.5971265999062,1967.9799096194886,360.16730656225053,1292.1423566151439,2615.071515790471,17.55897086902378,1049.7769614210033,835.8178375899774,2328.444619058513,409.5412141154776,160.3252111466269,88.47205696549896,46.119178918998195,814.9892227399541,51.36603690575148,2779.102445810933,2658.920465646115,864.4612595383454,27.068944288827662,681.5945888940184,2161.649009471941,114.05056104457945,2663.870407026312,117.98832418197972,213.38766282456154,1324.9665738523267,864.7655104316135,5.799965700422655
300,122.33941993347227,2850.022906818719,2145.4281445325896,3295.9176203607767,2922.826668287358,304.19331324620055,1024.7326827708084,69.50807690720555,2002.2730731268525,1314.105277438613,1621.4265144208762,51.911626909243125,116.24186785752724,1914.66460915962,3283.8193324534304,1588.6597828784547,131.51488909656572,102.5514617836102,108.40510855992459,75.27791780221831,81.01395901090079,271.29108558474087,76.51430710617451,153.77255744023822,41.50995152611948,2087.358404566561,22.621944213460694,460.0330379385727,132.7809361580839,2736.5201157042243,2753.951303625395,283.8273208889112,1791.5360050493848,2449.549333253874,83.54764349955005,103.79835553863207,96.69845955529046,1246.4681420233396,2501.841512445414,300.70325653019256,1768.2358891019653,2906.9669199804925,21.010330630030836,1217.597794552556,851.5202836654674,2804.7334366712084,572.330773483385,61.91908195159096,115.44198837321048,30.96885123937343,808.0934678775636,21.71709080209746,3413.5250054121634,2875.195603642417,1001.83657008352,174.42784660290573,1205.5620602613612,2776.8394934397966,80.09813688143007,3006.2966497080333,88.67783298927287,71.1477127244553,1714.1912321431016,739.5082906308642,7.4293038346490565
360,112.32317783182934,3180.4145902856926,2475.653970191042,3778.029572246807,3346.363101599802,479.0885702303705,1086.2611154291442,137.45526875753998,1980.8430457728919,1706.2140251108747,2122.830449697023,94.50600895379493,48.22930425692223,2085.0224559177677,3715.5278195049013,1481.1847404009584,51.35269058272599,154.95799402934952,63.93734300071069,118.32490189874098,81.89870915390209,234.24294897496858,72.00025961884494,120.93899816510887,103.23777982631331,2312.22132441917,36.7609045112998,608.7459589325424,45.88003028613063,3077.2729802010404,3277.9264652515644,297.88855015832615,1942.4061183536007,2745.8873198422034,1216.194280022435,85.78021976691059,972.7498757540233,1332.8304615455643,2796.365218727148,356.43767335857103,2054.4222585191587,3338.6501208624372,21.27848529887908,1374.7347856492836,855.7345067430222,3235.0212866274674,500.34632968694365,84.51125750454489,143.73849284470086,23.951019672248098,658.4515496221976,11.641076570611732,3756.214839663253,3339.843461400732,1350.3782240229102,57.844852548995554,1436.6356801473253,3450.7360388995357,86.76331728852674,3358.9886926403738,112.47070440505584,17.856322503243877,1994.86343247539,668.4358862990383,8.653520194269513
420,37.47887365654948,3413.549908984339,2666.5725593171874,3989.1162334601836,3606.357247275996,608.1206028435089,1222.2257278574364,131.31465355647157,1956.357833966022,2017.1821962232707,2524.4158949387215,670.7477744295774,57.64476518372036,2017.7534533011753,4072.924151336632,1536.492311909071,861.5959393669018,324.6579708519656,62.33629183468952,107.71834124509263,46.919966927208726,251.0009903696574,67.6170147049869,59.92760140803976,430.936642636604,2196.9583754958016,37.42935418327424,831.9267187440344,100.7222990743178,3448.210568534917,3483.218170669322,299.2957789778309,2080.1560661973854,2961.8013708959024,2023.842233216285,62.6164010089482,1545.1649955822882,1238.6973810513828,3153.170813825025,260.59730940060376,2370.775883064884,3775.094007599464,25.910437854129924,1556.9699797667208,859.4797767233179,3650.2074685481834,482.6211525362606,57.733184939433436,154.7522546662558,31.388957218881373,594.3331404184046,5.365980973233602,4125.726847432803,3658.144131758521,1853.6109325338646,72.9977232533733,1702.5056317917022,3782.0369634589147,39.44216315893092,3612.407903068663,51.04769516002322,6.674749390953093,2225.211990966926,593.978876818531,6.12155474801696
480,134.315346709003,3597.219944853901,2909.272210857496,4408.948280173672,3993.2923000532114,649.1668861866463,1257.3238571652507,29.034766925371944,1829.8940182026492,2233.6705933426438,2872.6929113645597,1208.9684943430675,89.3625753228662,2059.7801256489406,4421.627753717141,1529.562021599127,1667.9834464987982,275.8520440912765,89.9133807294226,46.03293200458028,109.99529465056885,272.9280140333719,103.23375696865506,155.28395604487656,803.9546330277019,1951.6266649478127,32.631872098422505,980.0352886745208,149.1607845205154,3801.859149383227,3666.8356232685396,408.5625956775567,2199.389115257829,3107.1825097226497,2819.9048642650755,51.27275795705014,2216.5172508677747,1253.0930212796984,3405.29159235309,379.39845021103366,2549.916410124462,4043.7677699259507,32.06017640675229,1638.3756922639107,878.5970574873427,4192.2619554139055,501.9019620826627,88.40106321295255,157.46836697863972,35.48403054301636,736.1486613240593,1012.2444519174713,4469.993759333586,3769.643390589787,2294.4590879157704,102.17397534575431,1971.3965927471,4077.1751466719825,79.65091093286901,3748.836595010927,112.74601796962968,13.030949569069234,2523.875836578807,530.6536246975998,935.7048132523869
540,122.42267248973297,3757.4172762677445,3190.8327056170087,4539.923339722421,4158.954514153532,821.8941508544455,1423.3583958505396,103.30165480766155,1802.1481085401397,2582.176129540213,3224.159841040102,1108.1410988496357,135.44595179183605,2042.351580114132,4733.806295033959,1343.6549729272429,2087.076381019866,346.15473948973295,94.01005631283935,58.826174957494665,16.239381730470225,269.10187271614075,239.71332421618652,163.24191063505228,851.6525383280264,2004.2369403765463,35.402316397085464,1142.669786989019,35.34751583067351,4095.397267294689,3922.238544926085,364.047528346522,2311.0458362619024,3219.373404485415,3545.0610605459556,85.4446052878423,2624.2785723978054,1294.8222849023284,3681.1322388271346,335.5988810733876,2827.5774920247304,4221.999866029807,665.3096554823645,1840.1572790189896,878.6923665682078,4404.6645824635925,517.0547082135411,140.08070418641196,157.2802458824427,35.49430086050402,981.4747284916928,1098.2449740938964,4812.297577468343,3648.285919382081,2475.8465300464177,14.163351520342044,2209.3567313533317,4380.963004329075,89.04859659630462,3750.0250783484107,123.56304385650094,33.62295559134727,2950.87152736704,517.4446422154759,1627.458522210242
