,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
trajectories,,,37229.53846153846,,,205296.60535573156,,,,,
recoveries,48022.5,48849.375,826.875,657.227289743652,643.1220152360358,4372.56144645622,242964.2222011491,247336.78364760528,4372.56144645622,5280.4309362368285,5287.858206812433
below_pixel,2459.090909090909,34462.72727272727,32003.636363636364,17060.06140460404,14688.951104290647,165065.51560855843,11272.600602840319,176338.11621139877,165065.51560855843,1566.3028595861417,1187.3986456599441
certain_recoveries,57160.54054054054,63529.18918918919,6368.648648648648,61623.731179150185,61064.90624250405,33768.05465896753,286062.5052918322,319830.5599507997,33768.05465896753,927.5238655174428,912.2405338263873
certain_below_pixel,0.0,37229.53846153846,37229.53846153846,23463.333682380337,18017.160189803562,205296.60535573156,0.0,205296.60535573156,205296.60535573156,2181.8450282625754,1328.435434048554
