time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1691585263717000000,0.927,0,0,2.5795183181762695,11.45300006866455,0.9640053510665894,235.78431701660156,60.94623474986274,-75.2236025,40.0406157
1691585265919501600,3.12950146484375,0,0,2.5806772708892822,10.878000259399414,2.775352716445923,272.5668029785156,61.91361193031632,-75.2236965,40.0406239
1691585266916371000,4.126370849609375,0,0,2.5901036262512207,10.508000373840332,2.5938262939453125,276.1488342285156,62.04577023601034,-75.2237218,40.0406293
1691585267970168600,5.18016845703125,0,0,2.600843667984009,10.553000450134277,1.8822269439697266,268.847900390625,62.25330424520436,-75.2237263,40.0406224
1691585268832000000,6.042,0,0,2.5321547985076904,10.111000061035156,1.361603021621704,264.58770751953125,62.59301021101781,-75.2237231,40.0406192
1691585268967944200,6.177944091796875,0,0,1.4305211305618286,10.015000343322754,1.2199714183807373,266.34869384765625,58.14604104149372,-75.2237194,40.0406207
1691585270022022000,7.23202197265625,0,0,3.023975372314453,10.234999656677246,0.8370822668075562,248.9928436279297,59,-75.2237151,40.0406124
1691585270984200400,8.194200439453125,0,0,3.030082941055298,10.520000457763672,0.6449653506278992,222.40228271484375,59,-75.2237073,40.0406033
1691585271983141400,9.193141357421876,0,0,2.811136245727539,10.800999641418457,0.5644845366477966,205.21340942382812,59,-75.2237024,40.0405977
1691585272740597200,9.95059716796875,0,0,2.8179378509521484,10.807999610900879,0.496186763048172,196.4148712158203,59,-75.2236993,40.0405956
1691585273731111000,10.94111083984375,0,0,1.3307963609695435,10.800000190734863,0.4085790812969208,192.7422332763672,56.5,-75.2236982,40.0405945
1691585273815000000,11.025,0,0,2.7749946117401123,10.803999900817871,0.38675814867019653,185.4658203125,59,-75.2236955,40.0405948
1691585274769087000,11.9790869140625,0,0,2.784881830215454,10.982999801635742,0.33095118403434753,181.4727325439453,59,-75.2236945,40.0405936
1691585275733408000,12.943407958984375,0,0,2.794973134994507,10.869000434875488,0.25478485226631165,180.92752075195312,59,-75.2236943,40.0405938
1691585276733427000,13.943427001953125,0,0,2.7463815212249756,10.723999977111816,0.16969089210033417,179.7989501953125,56.5,-75.2236941,40.0405949
1691585277733433000,14.94343310546875,0,0,2.7578446865081787,10.619000434875488,0.09605039656162262,0,56.5,-75.2236943,40.0405964
1691585278733485000,15.943485107421875,0,0,1.8418949842453003,10.529999732971191,0.04312702268362045,0,56.5,-75.223694,40.0405977
1691585278926000000,16.136000244140625,0,0,2.636883020401001,10.33899974822998,0.026632409542798996,0,56.70000076293945,-75.2236931,40.0405987
1691585279733616000,16.9436162109375,0,0,2.6453800201416016,10.227999687194824,0.021091727539896965,0,56.70000076293945,-75.2236931,40.0405998
1691585280733488000,17.943488037109375,0,0,2.6545183658599854,9.98900032043457,0.03564278036355972,0,56.70000076293945,-75.2236934,40.0406007
1691585281733522000,18.94352197265625,0,0,2.664306879043579,9.835000038146973,0.047346681356430054,0,56.70000076293945,-75.2236939,40.0406015
1691585282733509000,19.943509033203124,0,0,2.6856353282928467,9.701000213623047,0.04445615038275719,0,56.70000076293945,-75.2236939,40.0406018
1691585283733499000,20.943498779296874,0,0,2.262563467025757,9.562000274658203,0.0382988341152668,0,56.70000076293945,-75.2236938,40.040602
1691585283873000000,21.083,0,0,2.612185001373291,9.668999671936035,0.07976869493722916,0,56.5,-75.2236944,40.0406036
1691585284733541000,21.943541015625,0,0.38720807433128357,2.6081652641296387,9.461999893188477,0.8629649877548218,304.8394775390625,56.5,-75.2237289,40.0406199
1691585285733536000,22.943535888671875,0,0.3659074008464813,2.617846965789795,8.97700023651123,1.2790900468826294,303.37396240234375,56.5,-75.2237549,40.0406323
1691585286733565000,23.94356494140625,0,0.3635808229446411,2.6349692344665527,8.489999771118164,1.3788294792175293,305.6123046875,56.5,-75.22377,40.0406423
1691585287733565000,24.94356494140625,0,0.32897648215293884,2.6678850650787354,7.973999977111816,1.2303352355957031,309.33544921875,56.5,-75.2237753,40.0406487
