time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1691585263717000000,0.927,0,0,2.8651232719421387,11.47700023651123,0,0,59,-75.2236666,40.0405823
1691585268832000000,6.042,0,0,2.3541126251220703,11.258999824523926,0,0,56.5,-75.2236667,40.0405868
1691585273815000000,11.025,0,0,2.887784719467163,11.47700023651123,0,0,56.5,-75.2236581,40.0405828
1691585278926000000,16.136000244140625,0,0,2.6772561073303223,10.413000106811523,0,0,56.70000076293945,-75.2236616,40.0405861
1691585283873000000,21.083,0,0,2.6582746505737305,11.678000450134277,0,0,56.5,-75.2236561,40.0405907
1691585288866000000,26.075999755859375,0,0,2.813779830932617,13.437999725341797,0,0,56.5,-75.223675,40.0405871
1691585293901000000,31.111,0,0,2.31734037399292,14.824000358581543,0,0,56.5,-75.2236662,40.040588
1691585298917000000,36.127,0,0,2.318993330001831,12.538000106811523,0,0,56.5,-75.223721,40.0405546
1691585303892000000,41.102,0,0,2.357996940612793,11.48900032043457,0,0,56.30000305175781,-75.2236832,40.0405795
1691585308929000000,46.139,0,0,2.756359815597534,11.501999855041504,0,0,56.30000305175781,-75.2236733,40.0405914
1691585313938000000,51.147999755859374,0,0,1,34.902000427246094,0,0,56.400001525878906,-75.2237784,40.0405616
1691585318918000000,56.12800024414062,0,0,1.410005807876587,14.529999732971191,0,0,57.10000228881836,-75.2240578,40.0404871
1691585323132000000,60.342,0,0,2.110891819000244,15.456999778747559,0,0,56.5,-75.2237085,40.0406059
1691585358985000000,96.195,0,0,23.401405334472656,110,0,0,57.20000076293945,-75.2240484,40.0403873
1691585363977000000,101.187,0,0,1.289392352104187,11.041999816894531,0,0,56.80000305175781,-75.2261296,40.042212
1691585394057000000,131.267,0,0,1.7205235958099365,41.474998474121094,0,0,60.70000076293945,-75.22863,40.0437978
1691585414079000000,151.289,0,0,1,38.5359992980957,0,0,65.4000015258789,-75.2310921,40.0450974
1691585434086000000,171.29600024414063,0,0,1,35.08000183105469,0,0,67.5,-75.2337793,40.046589
1691585454083000000,191.293,0,0,1,17.267000198364258,0,0,68,-75.2353389,40.0486579
