,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
trajectories,,,44949.09090909091,,,261065.45486789694,,,,,
recoveries,10822.272727272728,14797.272727272728,3975.0,1918.6310878501884,1880.932355458442,20566.488111792172,53131.59846620874,73698.08657800093,20566.488111792172,6865.8093531088,6744.498175360908
below_pixel,1950.44776119403,36916.119402985074,34965.67164179104,25811.93337571183,23092.708818326322,192323.76026031375,10660.786354513773,202984.54661482753,192323.76026031375,2752.8057130364655,1676.072974122301
certain_recoveries,8555.862068965518,36303.44827586207,27747.58620689655,33185.29028762448,31101.409380896122,157118.30490922098,42079.82749553138,199198.13240475237,157118.30490922098,1490.0915806187054,1367.0728704779012
certain_below_pixel,3362.686567164179,47471.64179104478,44108.9552238806,50926.130604196995,46421.605587351136,255867.23267220645,22014.99184696011,277882.2245191665,255867.23267220645,7504.3208546316555,5856.106868405053
