,wi933014_37,wi933014_14,wi933014_75,wi933014_24,wi933014_29,wi933014_63,wi933014_13,wi933014_7,wi933014_56,wi933014_51,wi933014_41,wi933014_31,wi933014_73,wi933014_30,wi933014_72,wi933014_36,wi933014_23,wi933014_16,wi933014_9,wi933014_42,wi933014_11,wi933014_67,wi933014_43,wi933014_15,wi933014_65,wi933014_28,wi933014_60,wi933014_64,wi933014_26,wi933014_49,wi933014_48,wi933014_32,ew0114_2,wi933014_50,wi933014_19,wi933014_17,wi933014_22,wi933014_55,wi933014_47,wi933014_81,wi933014_33,wi933014_38,wi933014_40,wi933014_34,wi933014_39,wi933014_58,wi933014_8,wi933014_35,wi933014_18,index17_95,wi933014_61,wi933014_52,wi933014_69,wi933014_59,ew0007_82,wi933014_74,wi933014_70,wi933014_54,wi933014_66,wi933014_10,wi933014_53,wi933014_80,wi933014_6,wi933014_27,wi933014_57,wi933014_62
600,215.4652215872962,22200.342796875666,5610.918998171712,683.0097812974467,27955.351492000897,2158.025602704002,5782.471704393097,27.13842605785843,4823.602847374227,5483.57445006439,10461.46545886796,4532.476396143273,189.67383129005532,25475.34360461016,7946.05454684727,20276.854569839215,3972.824704388648,1991.7701890306535,60.8615028549048,87.89106811946112,2371.813910293239,2499.4702398618124,5141.754391237459,334.2838744382059,3831.3251360075596,3427.489839123234,139.9223088318737,5724.23549173714,32.566330480610375,11053.462730082716,3260.6167533685466,3544.902016819963,4478.733525161731,2212.249201849916,16511.800560641783,111.27503213430958,15180.147251833252,3193.6940369861913,7211.869346851085,28959.09126805359,4581.400903043905,7333.139674006289,1369.7745979615,1370.3475768530368,2739.392852886346,14600.551416784489,29500.13127348546,4017.4419871723017,319.03764152089997,306.870664354908,239.52566063544185,3977.622656809965,4186.103656742431,10296.019045243487,11512.964887013586,11069.172932317842,135.2368692556041,2878.096299993066,12512.657184804912,259.1269319091815,4891.668974673474,318.7851326384706,168.62508312335876,27717.45885756217,4975.424409531208,2210.441171913429
660,283.89318267552613,23360.693326137323,8907.344604796766,1306.2925561581176,27682.838005988993,1784.3806514503287,5843.729514858883,188.85227777894193,4742.146336675054,5125.07777231743,10666.676229545476,4795.8057367700885,241.4487452877384,29008.193858601335,7930.44295779029,20229.944609731225,26439.13045053854,3541.4551999846935,100.86821578010931,176.76118521939765,4122.670587541101,2512.9901532533495,5011.191524578476,303.31373700511983,5448.647517029189,4559.31734645898,174.24586567234854,5984.787548687026,99.92563757914728,10937.24252194098,3455.3719345439595,3332.3264442161303,8028.8748891039595,2529.912114890248,16622.493479971352,77.86384109915504,16145.657437910142,3199.1952077818028,7032.976935239614,29013.4841820634,4482.47976524839,9150.135489821976,1628.440830020359,1660.5178374870272,2695.9886565434144,14442.955775963057,30076.52753209736,4095.158442030353,212.5795622905178,307.7630598250826,246.19718288784804,4010.5574863278125,4102.441969853795,10626.078297815204,12376.446181661597,11116.295171597234,83.63172369979532,2683.6853469306275,12640.925503648294,27.075051266070773,4789.961846530924,200.82916172720874,129.39128318275633,28738.96070327003,4369.779738442826,3297.2384460817925
720,322.8847783409796,23250.334271064145,19153.583340561283,3075.7084916212134,27869.085361105546,2042.756971407537,5759.561032349696,77.3105845340945,4777.182976692911,5378.172520511465,11836.062751846644,4612.009807802858,153.87310688090955,30637.85426947342,7881.565584839014,20863.046449490026,27992.311009288558,4240.795222021769,59.894976811444266,238.00746813483698,7650.635849124061,2505.6220473698445,4905.131984293744,3250.728098810404,14081.670555720142,8070.686406940964,205.90591758431628,5943.934376298794,3001.7033641252588,10802.52311324649,3724.879947715388,3015.1379111584984,35167.43132324326,2830.246267032603,16872.11066474175,52.627981352678205,16115.67536627211,3187.9537438436887,6970.385730148936,29474.07227975294,4482.6734456528175,13348.030861853882,1931.2658586127868,1690.4050406958947,2672.8665117252467,14243.94341781782,30533.630063932218,4058.4522959685,319.02694261640926,246.82014345637276,205.06245164465557,4084.5645103859824,3945.6821978707294,11432.466495320976,25277.899431101836,10963.501007094845,92.34573352568921,2649.21520270391,13102.941644292523,220.19917972318603,4686.180410596284,278.6922093009643,152.4992377566765,24132.05395113962,4329.424633533539,4103.772448322376
780,249.24717157516776,22570.257695194276,22590.968846813495,3892.5056409727126,28899.208854856966,2154.936290111352,5128.578399334335,98.23887292056781,4702.218544228976,5587.474155443869,13116.195176635447,3916.371234751689,99.80214782236355,31270.845545979697,7699.080400662565,20969.2768920372,31067.923615878353,5521.914191703246,92.54501070744601,182.30427657927993,9424.62969756194,2510.4216502033933,5007.67618267889,5890.062152264919,17926.547734664546,12190.390672633443,222.27625058250783,5730.876118501111,2079.2173802886095,10797.193602118368,4216.589067311202,2950.044417632598,38008.18543596625,2880.0781876066903,16940.024960916777,187.8503901795192,15649.503218814494,3714.8026846013245,6733.941982913844,30694.633911652698,7171.318571157684,19309.32821177487,2208.5572975312098,1915.2974759049648,2798.5430676540277,14026.865153578772,30954.398339564275,3890.8706342535156,233.3378418826305,269.7081839148449,158.4056260201204,4321.457367940343,3978.541590418477,11860.090037857577,38994.641820576144,10866.988372385804,78.31275024876119,2635.8094552380358,13548.427293782002,243.1287605409704,4581.26285167726,310.9175839856066,223.4675842083216,8815.056332417746,2633.9197777925438,4653.549018536794
840,293.814093246775,22732.394088912275,22512.4118532749,4449.801692414898,30031.589047460864,2415.957505286454,5058.772403804817,107.40167730414511,4619.2874530519575,5545.0034152789685,13922.550755072385,2912.756749074323,2404.940577878863,31967.834948247993,8221.456877920125,21043.111282317917,34576.59459041417,6016.949625885823,22.585036453840203,121.99022187095231,10250.843177838336,2592.232908315682,4837.454118555916,7538.344991138923,17951.646676811793,15462.092148438467,221.06063735901418,5460.618290177645,1903.7399773007103,10807.446966301337,4911.597447850569,2685.8338610304713,38098.350045752086,2902.188145372695,16733.769227776702,85.49050708506775,15722.227976440223,4108.505564372061,6735.971473877451,34261.25373938397,8745.648792335454,21236.260419118204,2365.2851483827517,1933.8773730130417,2730.4439977240127,13996.559237859316,31093.68994071368,3624.957381075271,111.01624732848056,271.94881167776117,151.37688684434616,4545.101009298925,3988.9163381255516,12403.854060352647,39560.74958395693,10683.201789640198,136.80325587395313,2701.438253225226,13490.57656660455,234.76457344114732,4404.915666573667,331.18910131602127,131.20145446491978,43426.619452879066,1669.870134461646,5027.150945818322
900,355.9015119377872,23553.865264840948,22403.339346886372,4566.012542564114,31757.766709380696,2471.1854747004295,3917.661768420632,247.95953573265223,4380.916709567779,5223.774492440465,14205.824230416913,1970.5955896737912,3498.4216246460596,32229.78435178651,13314.5568307038,21005.171223627738,34360.63523573146,5914.913432818615,78.43972670685343,183.41361316981633,10438.347729437024,2524.148527141378,4744.121814831397,7574.417702175192,17847.694888818958,18254.875732401913,230.347288085702,5540.773522598122,1730.346943945814,10763.532996565324,5356.629504554704,2578.560776532284,38081.663902802466,2914.779299015169,16666.165528048266,58.03837929024363,15348.356883596205,4649.2153960158785,6756.723756492574,38216.06212612272,8809.919662041428,21223.942045784657,2406.7779113741244,2076.832924516648,2796.441163858975,13723.928005579468,30940.698460800708,3393.3022968713135,326.11516274211687,315.9401958363798,161.73039526130927,4848.210421887217,3925.9168116773503,12943.137516041817,39747.72446238334,10491.280083458416,191.77310583287522,2708.666418304355,13468.043974965372,281.55794475701936,4269.453775462113,162.14373169624682,68.53998276403983,44103.668463167065,1275.9805303443286,5262.813993922142
960,328.7441783768119,24622.206637247276,22200.37369147963,4286.452890996706,33291.578306268624,2761.377356182697,3214.0261061509837,129.80144247608035,4209.634266547804,5669.869045759503,14394.551313857633,1129.9180383856049,4178.402460022121,32375.412359536025,27452.185805735182,20989.433467415958,33869.11014955608,6866.695007095764,78.4340515736326,291.24342019177556,10463.779011954535,2529.1900630502514,4604.652050431081,7597.059225630453,17773.00673366383,20554.339175619603,235.5801228660086,5984.864819871727,1627.9073405357492,10832.430305413329,6451.165550370701,2394.29433864122,38053.6550516044,2870.2654832658686,16375.483548470145,200.22366972617212,15278.62283760021,5337.970277349763,6615.37242010769,38941.037951181665,8400.806272731279,21158.96528468165,2415.012277905692,1965.6860510924687,2692.592797159922,13492.883396822504,30816.992978467842,2986.427472332437,189.54986152037827,342.7631500672893,104.42613710302847,5433.538659140523,3925.701256955313,13509.91022512206,39838.01318743659,10340.513669153292,135.0618773787285,2589.420107481311,13465.367310217533,248.6805496617041,3936.789008836067,223.44366153740089,214.41107693155297,43824.26042084898,1671.987556969974,5422.880683991449
1020,236.6954917551226,25034.17830652008,22285.82265297989,3557.666938121147,33621.6654017428,3065.629836147901,2972.0218775992316,87.45379864414969,4005.797308015494,5960.56969972386,14345.577517841977,958.8126423391033,4624.461898418713,32699.95398989854,34893.00854820996,20858.310919760275,32456.890732407126,9697.134567711999,41.812659037492296,195.54164320688324,10303.695009772231,2514.597149091549,4682.567743893445,7263.861387688237,17670.426609642393,21357.943830289172,227.3354817203336,6240.490309686058,1829.7214929578884,10909.80618775592,11546.683042267328,2183.4155843448384,38061.026237077676,2805.1975064173484,16347.554722229632,61.32705931578272,15256.526091891712,5712.760092331027,6572.291554941816,38409.100196502324,7987.877163607365,21034.441665335995,2414.6162880302118,2026.163951098983,2264.024760253474,13345.044901307258,30519.781115653885,2590.1939478307463,272.32093152708103,339.72038117367487,137.93442917437514,6126.161240898195,3921.5147432543204,14200.500070000113,39990.01678512686,10183.30405111396,268.69137058183736,2679.992047782883,13736.568866215759,161.40307447217714,3877.2055561294014,287.05430052332986,189.50408358517706,43717.76955683482,2202.358972607663,5456.1420720905935
1080,300.76442862447914,25260.84265677267,22314.154688572005,2665.2645987871165,33465.77879413646,2986.1008360445235,2805.189728107768,123.73548702992831,3847.1953383182963,6530.62271599031,14428.229991254999,1104.211143904648,4554.964419246089,32683.3582341625,36181.54990508997,20896.548193121624,31520.143891334512,13958.630144930474,48.67091142299673,114.8441896889352,10351.864919513633,2508.435765440275,4472.701704000886,7117.789315068228,17560.569750613384,21658.173914606577,207.27405469053926,6361.749506175491,2027.6835255169722,10844.773185018625,29677.12908895346,2140.488762772729,38107.50936700125,2734.952846343898,16126.431942600248,35.67852630547379,14873.235299206744,5695.599339464075,6432.993577048643,37963.09200227491,7790.415201874801,21126.12923994344,2419.0075717136456,1958.7136767440409,1940.6696635858696,13191.317565920917,30295.374618066075,2397.8043816778595,113.77426871333138,381.61224612323974,138.56679002630125,6121.170869555918,3889.258670442448,14512.74964700126,39944.66777269604,10040.118637558233,136.3668253157801,2776.6073552996295,14043.887176673252,296.98449125220253,4213.41604385702,221.6884227343798,56.57771333394433,43293.03414160618,2597.307724394583,5705.271363788558
1140,305.8217735021298,25453.684098720794,22260.635394593803,2709.7362746521417,33405.770839646444,3407.4461266922185,2767.6117410750226,223.92677203375183,3318.602263372982,7374.2125698937825,14555.240233572471,1099.8152322884052,4983.695139213606,32746.652672661006,36911.66758972779,20921.258053533496,31139.49499269905,15859.613568496068,102.41789657672743,157.59976891176777,10358.262169295756,2514.3309410201055,4328.425939342799,6958.270788537576,17514.239024223378,21655.069229569002,222.83217182700193,6776.737249021551,2133.2437431508447,10757.70895941532,36477.30488819466,2020.4328458235893,38173.253900728225,2682.1734720719237,15888.9929139754,63.751241228274615,15322.01668913303,5717.283427575837,6319.146355219783,37370.16827791969,7612.591630379199,21111.569268635303,2417.8660691472533,1823.2436065084555,1699.0384287085737,13069.396065961677,30362.340503500116,2559.314687297683,136.85923187384807,380.0137973354688,287.20082477979673,6467.025315388187,3895.6954611541037,14563.239883927934,39958.60417966327,10091.131863205585,198.35475636613023,2789.2443512378713,13954.633100512212,309.09161128192153,4691.085781795428,228.28330640268388,147.30220880206096,42417.18368044696,2871.8403963272117,5711.284101895124
