,index17_106,index17_85,index17_84,index17_100,index17_104,index17_103,index17_87,index17_96,index17_86,ew0114_2,index17_91,index17_101,index17_99,index17_102,index17_94,index17_89,index17_105,index17_93,index17_95,index17_88,index17_98,index17_92,index17_97,ew0112_107
1260,128.23436340863586,286.6964820758243,1534.1201952196807,1364.397976809551,1001.5682980154368,1038.3887410606344,3360.764064907326,1812.2684005434933,1551.239901907053,1113.1566544468137,1306.7137222482502,2562.173516207053,2386.513042893022,2012.877913964563,3237.189464224949,2132.6194272121056,1166.936661885098,1148.8888402796724,2766.8906187591483,799.0612924060308,1428.604536675329,3048.4260990643083,1855.3652764034603,1778.0038551083987
1320,170.90729782235928,310.56037363008073,1541.4466571568785,1419.6808922153066,973.498447769397,1025.1662261080737,3323.34834486112,1709.8365430076108,1512.5219047906996,1066.6421068934371,1305.857099277236,2604.994362639131,2319.147444405945,2056.527305705348,3220.244181542869,2153.524789206808,1206.673415858139,1071.9890485686813,2865.792282924702,711.5072377344551,1471.7952985203297,3080.5578383695665,1854.2232699603069,1849.737604479301
1380,136.27429392046915,385.12341548519197,1566.4165436038736,1390.9780734340943,966.924823830044,976.8784857418661,3347.4526749278075,1711.5538121864738,1559.3628251831344,1091.7391078446726,1266.0827454526375,2628.329916748664,2376.1974913891286,1943.3501037389656,3234.9773768307978,2204.526434668466,1248.5914992354603,1021.6818402654304,2856.58805546983,838.6702456198335,1499.6852126227052,3099.61531314033,1722.4601997415148,2019.0178355195178
1440,77.45143540487646,422.8497352176353,1573.9056013531135,1400.887457933012,929.8897717972687,982.4041320744948,3539.057028063877,1722.7261313987146,1587.0580811470156,1250.406231248493,1318.2303680165599,2624.078442517224,2418.4532769850566,1799.3823128651075,3211.466814317442,2286.931494079793,1344.7223974803287,1035.4601567847426,2895.4719124458575,982.4319387601706,1508.0060764133339,3070.7750730564435,1791.0297032888802,2077.7460351425775
1500,141.7970089593096,419.88317549321306,1558.0401599976433,1405.19841744613,930.8613833634055,863.1596253525636,3453.9419234214834,1701.9555923061655,1587.2052905676478,1394.9568615976577,1314.6512077157183,2406.7919272567674,2393.5136728253706,1811.3256959109888,3170.35170868902,2456.9047791262833,1383.522593865737,1034.100858714609,2730.7609670880584,839.2589050453535,1572.112594773049,3054.5962713530635,1838.519207804146,2082.8999775360962
1560,161.68641764769444,428.37714833945415,1659.7460460834527,1397.848978294513,962.2862714217251,848.9183067551701,3520.490722522022,1718.7775617453974,1557.7299768058717,1475.4380895908293,1230.6504951016116,2485.031082389483,2359.622939614963,1796.9595267351933,3156.885996437534,2376.7069950828054,1276.5286737839428,1062.5382983709733,2812.4069621831773,899.4604626745629,1620.1953358369947,2994.45693688262,1972.2826862633574,2106.558742070671
1620,189.54688839692201,463.48474693645505,1678.4634159098803,1471.711131940236,1015.1548562459539,781.3840095835733,3520.630444973001,1739.3666433394444,1561.2000025688333,1316.7469640834913,1181.5206031872008,2627.4187972525997,2304.5520211889843,1797.2162259198412,3213.2356922364147,2392.2746725462566,1279.9947162382714,1069.9135406179441,2658.70818754512,1166.2408803816393,1696.3226031516626,3070.2137209952384,1811.7766793871785,2013.8669769301407
1680,250.5827253887252,477.8437159444481,1633.9627694316805,1519.9550493254064,992.9491223157087,826.849318491017,3554.0945281473823,1732.8920268703055,1586.3751404141847,1534.2736777308685,1115.9072076562506,2527.8317805351357,2292.0624893945196,1822.008534926485,3231.708015607147,2442.600677331313,1294.2869777787987,1070.0789204386288,2654.672023469048,1149.3016072251519,1732.0602836518256,3124.147841149547,1637.225531574324,2037.7755801467306
1740,176.51255559154734,494.7534161729493,1623.1812407979169,1424.6153797042127,992.9915752778942,795.4388475785846,3648.6164137667643,1633.9487963473055,1576.9836864595218,5329.394444401877,1171.680908124351,2606.9332058961313,2318.186484716396,1871.689459460708,3341.727235942053,2455.203349381693,1298.2281575384472,1134.7341460607613,2675.0770189430127,1259.912230272656,1681.2792583369392,3091.887899746205,1627.2143663139657,1997.2614733588919
1800,257.66260772353405,471.9279155821094,1781.2887660202043,1469.652250554662,964.1026549743492,812.2933002231468,3724.5646880513773,1482.7273896321992,1576.5195481451728,3570.897154983093,1127.5191431192638,2602.0188114759603,2286.200952469398,1856.7346286830498,3170.7210572018353,2540.9737272011494,1339.6500922444618,1136.84450305248,2689.4488873545715,1342.1037091664414,1660.0249994832288,3092.7665881693274,1681.2555884412393,2103.569183524117
1860,384.96668977333087,477.7585456033354,1769.3716155853942,1270.5770016896618,952.9793313761072,784.9944106847022,3749.7639320515163,1386.4989688056198,1595.9870262064194,1584.1051523052988,1090.3194322843822,2733.858334129531,2206.757232769379,1856.1592646406014,3119.2316841382262,2573.6745068088235,1468.8954231985742,1154.9239610589993,2747.0393933934643,1311.569379543918,1644.7997771523933,3252.036833066349,1604.8071493686746,2295.8364088586377
1920,454.55478745032536,441.78160240733655,1652.9506095945599,1205.6899675918712,1004.2295876136568,865.1822747975076,3700.9002779367747,1396.244487860506,1561.015553353075,1379.2384704009762,1010.0064888875229,2530.6730033055755,2134.731602825242,1875.6946937017397,3157.346481010111,2603.452334154905,1748.1261725390293,1024.3032579721507,2655.1738359564606,1358.258364168877,1663.4967184427837,3303.7141332685655,1595.4854402991953,2406.8984013788045
1980,398.6201143156993,537.2544331772301,1708.6496054482984,1219.1345566895707,991.9473765496032,974.9842785849712,3730.36699098992,1388.8777113601086,1574.4653673484966,1264.1346659365288,1040.3131200827527,2641.5235549899203,2075.2985272474434,1916.8319948208286,3163.169710780093,2517.083450679049,1774.9800583595159,1081.776343220366,2537.6462694544157,1373.7661433327285,1655.1124408535222,3308.6288364947063,1555.5896276457643,2350.4270382330355
2040,363.8220696315139,434.9755103503053,1689.830564878349,1294.6017121284976,1184.1963980097016,914.0631412535571,3762.938786818169,1291.6987430741704,1563.1089287926027,1381.6243424396732,1029.008335285551,2681.6053327568206,2147.4462851757985,1913.1440074596198,3253.897602278278,2507.255618081393,1851.514041081913,1205.154755058618,2509.4974100774143,1470.2031606116122,1671.6008851418433,3271.7790777273863,1507.3928244986503,2522.8946774554083
