,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
trajectories,,,118377.5,,,568782.9954984164,,,,,
recoveries,38545.71428571428,40452.857142857145,1907.142857142857,698.0603399582235,705.5104721550296,1069.497790642234,10671.184826831193,11740.682617473427,1069.497790642234,283.19911424410964,285.05889388426516
below_pixel,9053.076923076924,77328.46153846153,68275.38461538461,23920.098057197072,20453.892809659657,175474.13150340662,65130.955489831365,240605.086993238,175474.13150340662,297.72013614715365,265.6715534027426
certain_recoveries,16731.346153846152,24659.23076923077,7927.884615384615,15832.415897213168,14324.311276743427,41288.40182660781,38672.334667660834,79960.73649426865,41288.40182660781,244.7059024814576,242.36995846570295
certain_below_pixel,0.0,118377.5,118377.5,76113.82294770516,47800.86745625746,568782.9954984164,0.0,568782.9954984164,568782.9954984164,308.93199732519105,275.5047050156627
