,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
trajectories,,,11054.764776839565,,,1479053.0001073505,,,,,
recoveries,179399.67741935485,183584.35483870967,4184.677419354839,388.45162914315415,384.5451806614258,3091571.7919089147,55704240.90251369,58795812.69442261,3091571.7919089147,1541.439771919867,1534.4120912404221
below_pixel,42382.95918367347,43917.97193877551,1535.0127551020407,255.67633251530924,256.70739656090154,734952.3845141229,13213200.38448775,13948152.769001871,734952.3845141229,1036.4278585107427,1017.8553642324
certain_recoveries,90791.06382978724,100979.5744680851,10188.510638297872,132723.26159813663,133964.32278335668,4198272.245130604,400604.1146723644,4598876.359802968,4198272.245130604,1249.4662794627518,1195.8903759861228
certain_below_pixel,39644.02909090909,41368.887272727276,1724.8581818181817,80218.1801279473,80286.77212657075,861212.8004886586,226844.30805937384,1088057.1085480324,861212.8004886586,350.97256996535367,350.2929310350727
