,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled
ew9704_851,,,2880.0,,,32708.280068428485,,,
ew9704_566,,,2880.0,,,4487.742128437147,,,
ew9704_303,,,2880.0,,,56827.23872279937,,,
wi933014_25,,,27780.0,,,144556.46587059958,,,
ew9704_357,,,2880.0,,,23447.957617646814,,,
ew9704_858,,,2880.0,,,58086.539763521934,,,
ew9704_493,,,2880.0,,,8555.147321030106,,,
ew9704_216,,,2880.0,,,44603.4443906456,,,
ew9704_217,,,2880.0,,,51748.34900106525,,,
ew9704_610,,,2880.0,,,12748.519524975114,,,
ew9704_744,,,2880.0,,,16267.285316328796,,,
ew9704_775,,,2880.0,,,1562.8235428727248,,,
ew9704_568,,,2880.0,,,2946.738256319081,,,
ew9704_596,,,2880.0,,,21032.37161112095,,,
ew9704_718,,,2880.0,,,5216.38036785582,,,
ew9704_487,,,2880.0,,,7713.736295152262,,,
ew9704_606,,,2880.0,,,21122.578386488436,,,
ew9704_734,,,2880.0,,,19052.865173529244,,,
wi933014_7,,,50340.0,,,322275.694238026,,,
wi933014_56,,,7740.0,,,34908.1711788972,,,
ew9704_167,,,2880.0,,,57204.36386190785,,,
ew9704_371,,,2880.0,,,2930.1087677509113,,,
wi933014_51,,,8040.0,,,34647.68126438615,,,
ew9704_165,,,2880.0,,,30175.247090393284,,,
ew9704_521,,,2880.0,,,49799.43527595817,,,
ew9704_252,,,2880.0,,,4851.037868477714,,,
ew9704_311,,,2880.0,,,62783.15695852708,,,
ew9704_695,,,2880.0,,,16958.004533489067,,,
ew9704_877,,,2880.0,,,32843.5356891136,,,
ew9704_567,,,2880.0,,,976.7865555984654,,,
ew9704_297,,,2880.0,,,20545.72898145288,,,
wi933014_41,,,38160.0,,,182350.6935726998,,,
wi933014_31,,,28560.0,,,150684.87433406973,,,
ew9704_276,,,2880.0,,,29331.599255780722,,,
ew9704_550,,,2880.0,,,8948.890400328723,,,
ew9704_219,,,2880.0,,,45527.2671852304,,,
ew9704_880,,,2880.0,,,32823.65197743912,,,
ew9704_522,,,2880.0,,,34260.875644047825,,,
